Rank,Name,Race,Class,Guild,Faction,Realm,Region,Zone,Spec,SimDPS
708,Holidåys,Void Elf,Rogue,Ambivalence,Alliance,Arygos,US,,Outlaw,12665.60
709,Affect,Blood Elf,Hunter,untitled spreadsheet,Horde,Eredar,EU,DE,Havoc,12664.80
710,Shehyn,Human,Rogue, ,,Dun Morogh,EU,DE,Subtlety,12664.70
711,Zathlicated,Human,Rogue,No MAAM,Alliance,Khaz'goroth,OC,,Outlaw,12664.70
712,Ôliv,Nightborne,Rogue,Fat Ducks,Horde,Hyjal,EU,FR,Outlaw,12664.40
713,Semo,Undead,Rogue,Cronopios,Horde,Die Todeskrallen,EU,DE,Outlaw,12663.70
714,Naxisonline,Undead,Rogue,Pirates,Horde,Area 52,US,,Outlaw,12663.10
715,Deathofficer,Troll,Warlock,Rude,Horde,Bronze Dragonflight,EU,,Affliction,12662.90
716,Karatoxx,Night Elf,Rogue,Schwingen des Phoe..,Alliance,Zirkel des Cenarius,EU,DE,Subtlety,12662.80
717,Happyneal,Dwarf,Monk,plain,Alliance,Magtheridon,EU,,Windwalker,12662.10
718,Hp,Undead,Rogue, ,,Nagrand,EU,,Outlaw,12661.20
719,Plouffe,Blood Elf,Rogue,No Bully,Horde,Stormreaver,US,,Subtlety,12660.80
720,Bourgud,Blood Elf,Hunter, ,,Uldaman,EU,FR,Havoc,12660.10
721,Paralized,Mag'Har Orc,Rogue,Pho,Alliance,Zul'jin,US,,Outlaw,12659.70
722,Avenyou,Gnome,Rogue,Just Monika,Alliance,Antonidas,EU,DE,Outlaw,12659.60
723,Phenaxa,Orc,Rogue,Convention,Horde,Onyxia,EU,DE,Outlaw,12659.10
724,Rezkin,Undead,Rogue,BANGARANG,Horde,Burning Blade,US,,Outlaw,12658.70
725,Yukarï,Night Elf,Rogue, ,,Aegwynn,EU,DE,Outlaw,12658.60
726,Sunnstriker,Troll,Warlock,Astounding,Horde,Blackhand,EU,DE,Affliction,12658.30
727,Mushpuff,Blood Elf,Rogue,Fam,Horde,Agamaggan,EU,,Subtlety,12658.20
728,Burpees,Orc,Rogue,Drainlife,Horde,Arthas,US,,Outlaw,12657.60
729,Arlow,Blood Elf,Rogue,Disorderly,Horde,Zul'jin,US,,Outlaw,12656.80
730,Ralaith,Blood Elf,Rogue,Come Out and Play,Horde,Blackrock,EU,DE,Outlaw,12656.70
731,Justdante,Blood Elf,Hunter,The Reckless,Horde,Twisting Nether,EU,,Havoc,12656.10
